ID;Obra;ApellAutor;NomAutor;Tonalidad;Opus;Duracion
331;Obertura de Aida.;Verdi; Giuseppe;4' 15;;
332;Sinfonia n. 1;Schumann; Robert;Si M;38;32' 15
333;Sonata para piano n. 11;Beethoven; Ludwig Van;Si M;22;23' 53
334;Sobre las brasas ardientes;Tchaikovsky; Piotr Ilyich;025 / 2;1' 42;
335;Quinteto para instrumento de viento n. 2;Reicha; Anton;Mi b M;88 / 2;14' 07
336;Valse-scherzo;Tchaikovsky; Piotr Ilyich;La M;7;4' 24
337;Concierto para Oboe y orquesta de cuerdas;Albinoni; Tomaso;08-mar;10' 45;
338;Trozos de fantasias para piano;Rachmaninov; Sergei;3;19' 28;
339;El nigno y los sortilegios;Ravel; Maurice;42' 55;;
340;Carmina Burana, “O fortuna”.;Off; Carl;2' 35;;
341;“Scaramouche” para dos painos.;Milhaud; Darius;9' 51;;
342;Capricho Italiano;Tchaikovsky; Piotr Ilyich;45;15' 59;
343;Csardas;Hungarian Gypsy Music;59' 10;;;
344;Villancico de Navidad;Barrios; Agustin;2' 33;;
345;Concierto n. 7 para clavicordio, cuerdas y continuo;Bach; Johann Sebastian;Sol m;BWV 1058;13' 01
346;Stabat Mater;Pergolesi; Giovanni Battista;35' 23;;
347;La edad dorada (Suite);Shostakovich; Dmitri;22 a;2' 04;
348;Momentos musicales;Schubert; Franz;D 780;8' 43;
349;Turandot;Puccini; Giacomo;120' 08;;
350;Nocturno;Moreno-Torroba; Federico;3' 29;;
351;Berceuse et Danse;Tansman; Alexandre;5' 29;;
352;Suite Espagnola;Sanz; Gaspar;13' 00;;
353;Romeo y Julieta. Fantasia. Obertura.;Tchaikovsky; Piotr Ilyich;18' 38;;
354;2 Polonesas;Chopin; Frederic;40;13' 20;
355;Obras para piano;Brahms; Johannes;76;27' 36;
356;Concierto para piano y orquesta n. 1;Saint-Saens; Camille;17;26' 06;
357;L'espliege;Tchaikovsky; Piotr Ilyich;Mi M;072 / 12;1' 43
358;Francesca da Rimini;Tchaikovsky; Piotr Ilyich;32;23' 05;
359;Sherezade;Rimsky-Korsakov; Nicolai;35;44' 06;
360;Sinfonia n. 5. Adagietto;Mahler; Gustav;11' 36;;
361;Sonata para piano n. 21 “Waldstein”;Beethoven; Ludwig Van;Do M;53;22' 56
362;Sinfonia n. 8;Dvorak; Antonin;Sol M;88;35' 39
363;Sinfonia n. 5;Beethoven; Ludwig Van;Do m;67;33' 07
364;No lo creo, mi amigo;Tchaikovsky; Piotr Ilyich;006 / 1;3' 12;
365;Piezas liricas – Libro 7;Grieg; Edvard Hagerup;62;6' 10;
366;La Forza del Destino;Verdi; Giuseppe;169' 58;;
367;Los cuentos de hoffmann. Barcarola.;Offenbach; Jacques;4' 31;;
