ID;Obra;ApellAutor;NomAutor;Tonalidad;Opus;Duracion
1269;7 canciones populares espagnolas.;Falla; Manuel de;12' 00;;
1270;Cuarteto para cuerdas “La caza”;Mozart; Wolfgang Amadeus;Si b M;K 458;25' 48
1271;Alfonsina y el mar;Ramirez; Ariel;4' 37;;
1272;Concierto para 2 violines y orquesta de cuerda;Torelli; Giuseppe;Do M;08-ene;10' 16
1273;Concierto para dos violines en scordatura y continuo;Telemann; Georg Philipp;La M;9' 05;
1274;Harold en Italia;Berlioz; Hector;16;43' 09;
1275;Valses (version para dos pianos);Brahms; Johannes;39;7' 22;
1276;Madrigal – Gavota;Barrios; Agustin;3' 38;;
1277;Concierto para clavicordio y orquesta;Bach; Johann Sebastian;Sol m;BWV 1056;10' 20
1278;Sonata para clavicembalo;Scarlatti; Domenico;Sol m;K 347;2' 15
1279;Shylock;Faure; Gabriel;57;19' 51;
1280;Parada para orquesta;Satie; Erik;14' 51;;
1281;Concierto de Brandenburgo n. 4;Bach; Johann Sebastian;Sol M;BWV 1049;16' 51
1282;Adelita;Tarrega; Francisco;1' 38;;
1283;Minuetto;Tarrega; Francisco;2' 15;;
1284;Rondo para violin y orquesta;Mozart; Wolfgang Amadeus;Si b M;K 269;7' 31
1285;Nocturno n. 14;Chopin; Frederic;Fa # m;48 / 2;7' 13
1286;Light as a Feather;Strauss; Johann (Hijo);319;2' 44;
1287;Concierto para violin y orquesta;Beethoven; Ludwig Van;Re M;61;46' 00
1288;Tzigane. Rapsodia de concierto;Ravel; Maurice;9' 33;;
1289;Divertimento n. 15;Mozart; Wolfgang Amadeus;Si b M;K 287;48' 30
1290;Sonata para clavicembalo;Scarlatti; Domenico;K 381;3' 20;
1291;Suite Francesa n. 2;Bach; Johann Sebastian;Do m;BWV 0813;11' 41
1292;Piezas liricas – Libro 5;Grieg; Edvard Hagerup;54;15' 15;
1293;Preludio para la siesta de un Fauno;Debussy; Claude;10' 36;;
1294;Sonata para violin solo;Bach; Johann Sebastian;Sol m;BWV 1001;16' 40
1295;Fantasia de “Greensleeves” para orquesta de cuerda, arp;Vaughan Williams; Ralph;4' 44;;
1296;Vals n. 2;Chopin; Frederic;La b M;34 / 1;4' 50
1297;Romanzas y Baladas (Tragodie I);Schumann; Robert;049 / 3;1' 28;
1298;Sinfonia n. 45, “Adios”;Haydn; Franz Joseph;Fa # m;26' 15;
1299;Obertura de Macbeth.;Verdi; Giuseppe;3' 26;;
1300;Principe Igor;Borodin; Alexander;35' 33;;
1301;“Iberia”, Imagen para orquesta n. 2;Debussy; Claude;20' 07;;
1302;Quinteto para clarinete, 2 violines, viola y violonchelo;Mozart; Wolfgang Amadeus;La M;K 581;33' 00
1303;Preludio n. 2;Villa-Lobos; Heitor;2' 38;;
1304;Obertura “Leonora” n. 3;Beethoven; Ludwig Van;072 a;14' 22;
1305;Quinteto n. 5  dos violines, alto, dos chelos. Minueto;Boccherini; Luigi;13-may;3' 36;
1306;Obertura del Festival Academico;Brahms; Johannes;80;9' 35;
1307;Concierto para 2 clavicordios, cuerdas y continuo;Bach; Johann Sebastian;Do m;BWV 1060;13' 04
1308;Quinteto per archi n. 6. “La musica noctturna di Madrid”;Boccherini; Luigi;Fa M;30-jun;13' 04
1309;La flauta magica;Mozart; Wolfgang Amadeus;K 620;61' 01;
1310;Peer Gynt, Suite n. 2;Grieg; Edvard Hagerup;55;16' 31;
1311;Sinfonia n. 3;Brahms; Johannes;Fa M;90;35' 08
1312;Concierto para piano y orquesta n. 21 “Elvira Madigan”;Mozart; Wolfgang Amadeus;Do M;K 467;28' 03
1313;Romance para violin y orquesta n. 2;Beethoven; Ludwig Van;Fa M;50;8' 55
1314;Ocho canciones de amor;Dvorak; Antonin;83;13' 14;
1315;El clave bien temperado. Parte 1. n. 1-12.;Bach; Johann Sebastian;BWV 0846;51' 33;
1316;Tasso: Poema sinfonico n. 2;Liszt; Franz;20' 15;;
1317;Los cuentos de Hoffmann;Offenbach; Jacques;68' 57;;
1318;Musica para cuerdas, percusion y celesta;Bartok; Bela;Sz 106;34' 48;
1319;Variaciones sobre un tema Rococo para violonchello;Tchaikovsky; Piotr Ilyich;33;19' 33;
1320;La hora espagnola;Ravel; Maurice;46' 09;;
1321;Sonatina;Moreno-Torroba; Federico;11' 43;;
1322;La Boheme;Puccini; Giacomo;66' 18;;
1323;Pulcinella;Stravinsky; Igor;38' 47;;
1324;Romeo y Julieta;Berlioz; Hector;6' 19;;
1325;Recuerdo de Pils;Smetana; Bedrich;2' 33;;
1326;Concierto para piano y orquesta n. 1;Rachmaninov; Sergei;Fa # m;1;26' 47
1327;Pavana para una infanta difunta;Ravel; Maurice;5' 44;;
1328;Pleasure Train;Strauss; Johann (Hijo);281;2' 52;
1329;Suite (obertura) n. 1;Bach; Johann Sebastian;Do M;BWV 1066;22' 26
1330;Berceuse;Faure; Gabriel;16;3' 33;
1331;Poema de octubre;Tchaikovsky; Piotr Ilyich;065 / 4;2' 29;
1332;Trio para piano;Tchaikovsky; Piotr Ilyich;La m;50;48' 49
1333;Obertura “Rosamunda”;Schubert; Franz;D 644;10' 24;
1334;Cadiz;Albeniz; Isaac;4' 28;;
1335;Anochecer;Tchaikovsky; Piotr Ilyich;027 / 4;2' 50;
1336;Claro de luna;Debussy; Claude;3' 55;;
1337;Noche de S. Juan en el monte pelado;Mussorgsky; Modest;11' 42;;
1338;Nocturno n. 3;Chopin; Frederic;Si M;09-mar;7' 15
1339;Canzone, Rondo;Ponce; Manuel;6' 40;;
1340;Sinfonia n. 40;Mozart; Wolfgang Amadeus;Sol m;K 550;24' 49
1341;Cuarteto para cuerda;Ravel; Maurice; Fa M;27' 18;
1342;Cantos de Auvergne;Canteloube; Joseph;47' 32;;
1343;Humoresque;Barrios; Agustin;3' 16;;
1344;Divertimento n. 1;Mozart; Wolfgang Amadeus;13' 06;;
1345;Sonata para piano n. 16;Mozart; Wolfgang Amadeus;Do M;K 545;12' 09
1346;Danzas Eslavas;Dvorak; Antonin;72;34' 26;
1347;Vals EL Tesoro;Strauss; Johann (Hijo);418;7' 35;
1348;Obertura de I vespri sicialini.;Verdi; Giuseppe;8' 39;;
1349;Romanzas y Baladas (Die beiden Grenadiere);Schumann; Robert;049 / 1;3' 45;
1350;Sinfonia n. 1, “Suegno de invierno”;Tchaikovsky; Piotr Ilyich;13;45' 35;
1351;Concerto grosso per il Santisimo Natale;Manfredini; Francesco;Do M;03-dic;10' 53
1352;Carmina Burana;Off; Carl;56' 09;;
1353;Sinfonia n. 2;Brahms; Johannes;Re M;73;44' 59
1354;Platero;Castelnuovo-Tedesco; Mario;2' 28;;
1355;Canon & Giga;Pachelbel; Johann;Re M;6' 06;
1356;Austrian Village Swallows;Strauss; Joseph;3' 52;;
1357;Minueto n. 6;Sor; Ferdinando;11;2' 19;
1358;Sanctus “Heilig ist Gott der Herr Zebaoth”;Mendelssohn-Bartholdy; Felix; ;1' 44;
1359;El Mesias;Haendel; Georges Friederic;151' 55;;
1360;Villancicos navidegnos rumanos;Bartok; Bela;Sz 057;11' 11;
1361;Concierto para piano y orquesta n. 5 “Emperador”;Beethoven; Ludwig Van;Mi b M;73;39' 57
1362;Vals n. 3;Chopin; Frederic;La m;34 / 2;5' 09
1363;Africa - Fantasia para piano y orquesta;Saint-Saens; Camille;11' 02;;
1364;Las estaciones;Tchaikovsky; Piotr Ilyich;37;41' 14;
1365;Preludio y fuga;Bach; Johann Sebastian;Fa m;BWV 0534;8' 29
1366;Concierto para violin y orquesta;Berg; Alban;24' 41;;
1367;Capricho brillante en jota aragonesa;Glinka; Mikhail;8' 54;;
1368;Obertura “Leonore” n. 3;Beethoven; Ludwig Van;072 b;14' 30;
1369;Cisne de Tuonel (Leyendas);Sibelius; Jean;22;9' 17;
1370;Don Quijote;Strauss; Richard;35;44' 47;
1371;Sinfonia n. 1, “El Titan”;Mahler; Gustav;Re M;53' 46;
1372;Concierto grosso n. 1;Corelli; Arcangelo;Re M;06-ene;14' 44
